dsid,mzp,mdh,mdm,gq,gx,acc_MET150200_2b,acc_MET200350_2b,acc_MET350500_2b,acc_MET500750_2b,acc_MET750_2b,acc_MET150200_3b,acc_MET200350_3b,acc_MET350500_3b,acc_MET500_3b,acc_total,sensitivity
100872,2000,110,1025,0.25,2.5,0.000382897,0.0742078,0.0357866,0.0294591,0.0115609,0.0,0.00192715,0.000562706,0.000986626,0.154873779,1.29275724144
100873,2000,110,1025,0.25,3.0,0.00137874,0.0776903,0.0377199,0.0249295,0.0110315,0.0,0.000599175,0.000451314,0.00174921,0.155549639,2.56420424814
100874,2000,110,1025,0.25,3.5,0.000454301,0.0770226,0.0360481,0.0260138,0.0120902,0.0,0.00131157,0.000551068,0.00187851,0.15537014899999999,5.00105350236
100876,2000,110,1210,0.25,1.0,0.00163355,0.0750464,0.0348279,0.0296914,0.0138104,0.0,0.00111972,0.000315446,0.00207044,0.158515256,0.0053286701212
100877,2000,110,1210,0.25,1.5,0.00102747,0.0726407,0.0388806,0.0311412,0.0128653,0.0,0.000738854,0.000466391,0.00140427,0.159164785,0.0267565477423
100879,2000,110,1210,0.25,2.5,0.000657137,0.0695396,0.0404488,0.0272244,0.0130957,0.0,0.000873717,0.000454444,0.000425995,0.15271979300000002,0.196549294392
100880,2000,110,1210,0.25,3.0,0.00100381,0.0742813,0.0374416,0.0263934,0.0145982,0.0,0.00191076,0.000660793,0.00114873,0.157438593,0.431351952925
100883,2000,130,100,0.25,1.0,0.000598189,0.0880319,0.0572886,0.0369325,0.0100164,0.0,0.00241511,0.000720372,0.00136141,0.197364481,14.2248391921
100884,2000,130,100,0.25,1.5,0.00155533,0.0817469,0.0588448,0.0443015,0.0110208,0.000119066,0.00166671,0.000743721,0.00239028,0.20238910699999998,53.9818117752
100885,2000,130,100,0.25,2.0,0.000876879,0.089377,0.0609688,0.0466025,0.0125157,0.0,0.000381094,0.00112714,0.00160367,0.21345278299999998,114.538337038
100886,2000,130,100,0.25,2.5,0.000920724,0.0928206,0.0668738,0.0553968,0.0160195,0.0,0.00120972,0.000847725,0.00190722,0.23599608900000002,209.340293026
100887,2000,130,100,0.25,3.0,0.00086741,0.0961064,0.0674205,0.0602915,0.014714,0.0,0.00114951,0.000792523,0.00365236,0.244994203,282.360100163
100888,2000,130,100,0.25,3.5,0.000851945,0.0879919,0.0825403,0.064607,0.021127,0.000120043,0.00136232,0.000907852,0.0025329,0.26204126,388.935649195
100889,2000,130,285,0.25,0.5,0.000786723,0.0849455,0.0501575,0.0324691,0.00686435,0.000123001,0.00134786,0.000696715,0.00112305,0.17851379899999997,0.735264235225
